Transaction_ID,Customer_ID,Transaction_Date,Category,Unit_Price,Quantity,Total_Amount,Payment_Method,City,Gender,Age
TXN_0024,CUST_002,2024-09-10,Beauté,1160.76,3,3482.28,Virement,Agadir,M,23
TXN_0025,CUST_009,2024-08-20,Maison,1430.68,3,4292.04,Livraison,Tanger,M,55
TXN_0026,CUST_033,2024-04-25,Maison,1877.71,2,3755.42,Livraison,Marrakech,F,43
TXN_0027,CUST_035,2024-04-21,Électronique,1360.65,1,1360.65,Livraison,Fès,F,63
TXN_0028,CUST_018,2024-07-12,Maison,1338.73,1,1338.73,Carte Bancaire,Fès,F,35
TXN_0029,CUST_004,2024-10-15,Alimentation,439.76,3,1319.28,Virement,Agadir,M,37
TXN_0030,CUST_017,2024-05-07,Électronique,1130.83,3,3392.49,Virement,Fès,M,40
TXN_0031,CUST_022,2024-01-22,Alimentation,1024.81,3,3074.43,Virement,Casablanca,F,45
TXN_0032,CUST_034,2024-10-03,Électronique,1196.12,1,1196.12,Carte Bancaire,Marrakech,F,20
TXN_0033,CUST_019,2024-01-04,Maison,1560.25,1,1560.25,Livraison,Rabat,M,64
TXN_0034,CUST_029,2024-02-15,Alimentation,1778.64,1,1778.64,Carte Bancaire,Casablanca,M,20
TXN_0035,CUST_024,2024-06-29,Maison,1962.63,3,5887.89,Carte Bancaire,Rabat,F,64
TXN_0036,CUST_021,2024-06-09,Maison,422.04,1,422.04,Livraison,Agadir,F,43
TXN_0037,CUST_031,2024-02-23,Mode,1867.03,2,3734.06,Livraison,Tanger,F,26
TXN_0038,CUST_032,2024-05-30,Mode,582.91,2,1165.82,Livraison,Rabat,M,28
TXN_0039,CUST_026,2024-09-29,Électronique,359.58,2,719.16,Virement,Agadir,F,48
TXN_0040,CUST_029,2024-06-18,Mode,1639.22,1,1639.22,Carte Bancaire,Casablanca,M,20
TXN_0041,CUST_007,2024-02-05,Alimentation,469.12,2,938.24,Livraison,Tanger,M,53
TXN_0042,CUST_012,2024-05-22,Beauté,1199.84,3,3599.52,Virement,Tanger,M,34
TXN_0043,CUST_022,2024-02-20,Électronique,394.58,2,789.16,Carte Bancaire,Casablanca,F,45
TXN_0044,CUST_022,2024-02-27,Électronique,170.96,2,341.92,Virement,Casablanca,F,45
TXN_0045,CUST_037,2024-09-20,Alimentation,615.93,1,615.93,Virement,Fès,F,43
TXN_0046,CUST_004,2024-09-18,Alimentation,469.32,2,938.64,Virement,Agadir,M,37
TXN_0047,CUST_035,2024-05-23,Alimentation,1942.12,2,3884.24,Livraison,Fès,F,63
TXN_0048,CUST_019,2024-05-24,Maison,934.05,3,2802.15,Livraison,Rabat,M,64
TXN_0049,CUST_037,2024-04-26,Électronique,1408.15,1,1408.15,Livraison,Fès,F,43
TXN_0050,CUST_001,2024-08-26,Mode,555.6,2,1111.2,Carte Bancaire,Marrakech,F,61
TXN_0051,CUST_040,2024-08-24,Alimentation,1312.71,1,1312.71,Virement,Marrakech,F,27
TXN_0052,CUST_005,2024-10-04,Alimentation,897.24,2,1794.48,Virement,Agadir,M,45
TXN_0053,CUST_037,2024-03-26,Électronique,749.57,1,749.57,Virement,Fès,F,43
TXN_0054,CUST_030,2024-08-25,Beauté,433.13,2,866.26,Livraison,Tanger,M,44
TXN_0055,CUST_021,2024-02-08,Beauté,429.08,2,858.16,Carte Bancaire,Agadir,F,43
TXN_0056,CUST_023,2024-09-06,Mode,1903.38,2,3806.76,Virement,Marrakech,M,44
TXN_0057,CUST_010,2024-09-06,Maison,1055.96,1,1055.96,Carte Bancaire,Agadir,F,33
TXN_0058,CUST_004,2024-01-16,Mode,150.37,3,451.11,Livraison,Agadir,M,37
TXN_0059,CUST_035,2024-02-02,Électronique,1641.29,3,4923.87,Carte Bancaire,Fès,F,63
TXN_0060,CUST_012,2024-03-05,Électronique,1337.82,3,4013.46,Carte Bancaire,Tanger,M,34
TXN_0061,CUST_013,2024-01-12,Mode,174.03,2,348.06,Virement,Fès,F,27
TXN_0062,CUST_023,2024-03-30,Alimentation,1705.26,2,3410.52,Livraison,Marrakech,M,44
TXN_0063,CUST_034,2024-04-24,Électronique,1042.47,2,2084.94,Carte Bancaire,Marrakech,F,20
TXN_0064,CUST_011,2024-08-04,Alimentation,1938.4,2,3876.8,Carte Bancaire,Marrakech,F,50
TXN_0065,CUST_009,2024-07-10,Maison,1981.96,2,3963.92,Carte Bancaire,Tanger,M,55
TXN_0066,CUST_022,2024-02-10,Maison,1527.57,2,3055.14,Carte Bancaire,Casablanca,F,45
TXN_0067,CUST_145,2024-11-13,Électronique,3952.31,1,3952.31,Carte Bancaire,Tanger,F,69
TXN_0068,CUST_035,2024-11-11,Alimentation,530.42,1,530.42,Carte Bancaire,Fès,F,63
TXN_0069,CUST_116,2024-04-20,Mode,1172.2,2,2344.4,Livraison,Casablanca,F,31
TXN_0070,CUST_167,2024-01-14,Maison,2436.06,2,4872.12,Carte Bancaire,Fès,M,49
TXN_0071,CUST_018,2024-08-18,Électronique,5023.68,4,20094.72,Livraison,Fès,F,35
TXN_0072,CUST_111,2024-03-24,Mode,351.9,3,1055.7,Carte Bancaire,Tanger,F,25
TXN_0073,CUST_046,2024-05-09,Électronique,1736.9,4,6947.6,Livraison,Marrakech,M,26
TXN_0074,CUST_071,2024-08-18,Mode,755.33,2,1510.66,Virement,Agadir,F,59
TXN_0075,CUST_096,2024-11-21,Électronique,2804.2,1,2804.2,Virement,Fès,M,23
TXN_0076,CUST_073,2024-05-24,Beauté,975.02,1,975.02,Virement,Tanger,F,49
TXN_0077,CUST_127,2024-12-10,Alimentation,298.07,3,894.21,Carte Bancaire,Marrakech,F,58
TXN_0078,CUST_096,2024-01-28,Alimentation,310.2,2,620.4,Carte Bancaire,Fès,M,23
TXN_0079,CUST_118,2024-03-06,Électronique,6041.66,1,6041.66,Livraison,Marrakech,M,50
TXN_0080,CUST_144,2024-06-11,Alimentation,737.81,2,1475.62,Carte Bancaire,Casablanca,M,39
TXN_0081,CUST_115,2024-08-16,Mode,1785.03,4,7140.12,Livraison,Agadir,F,58
TXN_0082,CUST_119,2024-09-17,Beauté,756.65,2,1513.3,Carte Bancaire,Agadir,M,39
TXN_0083,CUST_116,2024-06-12,Alimentation,985.43,2,1970.86,Carte Bancaire,Casablanca,F,31
TXN_0084,CUST_076,2024-10-27,Alimentation,202.54,2,405.08,Carte Bancaire,Marrakech,M,68
TXN_0085,CUST_070,2024-10-29,Mode,1908.98,1,1908.98,Virement,Casablanca,F,44
TXN_0086,CUST_183,2024-10-13,Beauté,1218.49,2,2436.98,Carte Bancaire,Marrakech,F,35
TXN_0087,CUST_123,2024-01-10,Maison,2366.03,2,4732.06,Livraison,Tanger,M,50
TXN_0088,CUST_046,2024-07-13,Alimentation,1508.14,1,1508.14,Carte Bancaire,Marrakech,M,26
TXN_0089,CUST_099,2024-04-27,Alimentation,1227.8,3,3683.4,Livraison,Rabat,M,53
TXN_0090,CUST_067,2024-09-26,Maison,771.61,2,1543.22,Carte Bancaire,Rabat,M,44
TXN_0091,CUST_186,2024-03-20,Électronique,8694.66,3,26083.98,Virement,Rabat,M,52
TXN_0092,CUST_001,2024-04-02,Maison,1966.2,3,5898.6,Virement,Marrakech,F,61
TXN_0093,CUST_046,2024-09-22,Alimentation,971.67,1,971.67,Carte Bancaire,Marrakech,M,26
TXN_0094,CUST_074,2024-11-27,Mode,388.33,2,776.66,Virement,Rabat,F,56
TXN_0095,CUST_098,2024-12-15,Électronique,643.67,2,1287.34,Virement,Marrakech,F,23
TXN_0096,CUST_170,2024-12-26,Maison,2280.87,3,6842.61,Virement,Casablanca,M,44
TXN_0097,CUST_018,2024-09-13,Alimentation,1339.23,1,1339.23,Virement,Fès,F,35
TXN_0098,CUST_160,2024-05-12,Maison,2345.6,2,4691.2,Carte Bancaire,Tanger,F,39
TXN_0099,CUST_009,2024-10-02,Électronique,8035.38,2,16070.76,Livraison,Tanger,M,55
TXN_0100,CUST_167,2024-09-20,Maison,958.91,1,958.91,Carte Bancaire,Fès,M,49
TXN_0101,CUST_009,2024-06-19,Maison,3007.74,1,3007.74,Carte Bancaire,Tanger,M,55
TXN_0102,CUST_005,2024-01-01,Maison,247.02,2,494.04,Virement,Agadir,M,45
TXN_0103,CUST_136,2024-11-08,Maison,1516.1,3,4548.3,Carte Bancaire,Rabat,M,65
TXN_0104,CUST_200,2024-03-04,Maison,3153.82,2,6307.64,Virement,Rabat,F,67
TXN_0105,CUST_182,2024-10-10,Mode,2100.01,2,4200.02,Virement,Casablanca,M,52
TXN_0106,CUST_116,2024-04-30,Électronique,5276.55,2,10553.1,Virement,Casablanca,F,31
TXN_0107,CUST_184,2024-04-16,Mode,790.53,2,1581.06,Virement,Casablanca,M,40
TXN_0108,CUST_001,2024-06-23,Alimentation,201.88,1,201.88,Carte Bancaire,Marrakech,F,61
TXN_0109,CUST_195,2024-07-22,Électronique,5162.49,3,15487.47,Carte Bancaire,Casablanca,F,56
TXN_0110,CUST_098,2024-06-13,Électronique,4602.45,1,4602.45,Livraison,Marrakech,F,23
TXN_0111,CUST_141,2024-10-31,Alimentation,804.8,2,1609.6,Carte Bancaire,Rabat,M,40
TXN_0112,CUST_161,2024-04-29,Mode,1490.86,1,1490.86,Carte Bancaire,Casablanca,F,22
TXN_0113,CUST_140,2024-02-13,Maison,2320.99,1,2320.99,Carte Bancaire,Rabat,M,63
TXN_0114,CUST_111,2024-11-07,Mode,1678.83,2,3357.66,Virement,Tanger,F,25
TXN_0115,CUST_096,2024-06-04,Maison,1155.48,1,1155.48,Livraison,Fès,M,23
TXN_0116,CUST_167,2024-07-25,Alimentation,1037.74,3,3113.22,Carte Bancaire,Fès,M,49
TXN_0117,CUST_039,2024-04-17,Électronique,810.67,1,810.67,Livraison,Marrakech,F,36
TXN_0118,CUST_195,2024-09-07,Alimentation,1339.55,2,2679.1,Carte Bancaire,Casablanca,F,56
TXN_0119,CUST_139,2024-11-29,Alimentation,1270.87,2,2541.74,Carte Bancaire,Casablanca,F,53
TXN_0120,CUST_039,2024-05-09,Électronique,990.92,1,990.92,Virement,Marrakech,F,36
TXN_0121,CUST_143,2024-10-19,Électronique,5488.03,1,5488.03,Livraison,Tanger,F,42
TXN_0122,CUST_107,2024-01-20,Maison,2825.57,2,5651.14,Virement,Casablanca,F,29
TXN_0123,CUST_138,2024-10-08,Mode,1805.09,2,3610.18,Carte Bancaire,Rabat,M,30
TXN_0124,CUST_153,2024-10-11,Beauté,1224.51,2,2449.02,Virement,Agadir,F,54
TXN_0125,CUST_018,2024-01-01,Beauté,102.98,2,205.96,Livraison,Fès,F,35
TXN_0126,CUST_102,2024-04-28,Maison,2334.46,2,4668.92,Livraison,Rabat,F,35
TXN_0127,CUST_186,2024-02-04,Alimentation,501.15,1,501.15,Livraison,Rabat,M,52
TXN_0128,CUST_063,2024-07-16,Maison,3215.54,2,6431.08,Virement,Rabat,F,56
TXN_0129,CUST_120,2024-09-01,Mode,2086.07,4,8344.28,Livraison,Casablanca,F,55
TXN_0130,CUST_074,2024-02-28,Électronique,3200.44,2,6400.88,Livraison,Rabat,F,56
TXN_0131,CUST_093,2024-11-20,Alimentation,1510.14,2,3020.28,Virement,Agadir,F,23
TXN_0132,CUST_113,2024-06-09,Mode,757.13,2,1514.26,Virement,Fès,M,42
TXN_0133,CUST_113,2024-06-27,Alimentation,269.01,3,807.03,Livraison,Fès,M,42
TXN_0134,CUST_039,2024-07-24,Maison,2979.85,3,8939.55,Livraison,Marrakech,F,36
TXN_0135,CUST_135,2024-01-12,Maison,2498.92,2,4997.84,Livraison,Fès,F,57
TXN_0136,CUST_018,2024-10-02,Électronique,8271.96,4,33087.84,Carte Bancaire,Fès,F,35
TXN_0137,CUST_028,2024-06-29,Alimentation,1410.2,1,1410.2,Livraison,Casablanca,F,64
TXN_0138,CUST_001,2024-08-29,Alimentation,1555.83,1,1555.83,Virement,Marrakech,F,61
TXN_0139,CUST_024,2024-08-03,Électronique,3778.0,3,11334.0,Virement,Rabat,F,64
TXN_0140,CUST_096,2024-09-07,Électronique,1460.88,3,4382.64,Carte Bancaire,Fès,M,23
TXN_0141,CUST_123,2024-10-25,Mode,1902.86,1,1902.86,Livraison,Tanger,M,50
TXN_0142,CUST_158,2024-05-05,Électronique,6489.53,1,6489.53,Carte Bancaire,Marrakech,M,22
TXN_0143,CUST_023,2024-08-04,Maison,2029.48,1,2029.48,Virement,Marrakech,M,44
TXN_0144,CUST_170,2024-11-01,Alimentation,349.27,1,349.27,Virement,Casablanca,M,44
TXN_0145,CUST_147,2024-10-11,Beauté,1109.24,3,3327.72,Livraison,Casablanca,M,70
TXN_0146,CUST_082,2024-07-03,Électronique,2781.51,2,5563.02,Virement,Casablanca,F,69
TXN_0147,CUST_186,2024-02-08,Alimentation,1177.54,2,2355.08,Livraison,Rabat,M,52
TXN_0148,CUST_198,2024-08-10,Mode,376.54,2,753.08,Livraison,Marrakech,M,61
TXN_0149,CUST_039,2024-07-02,Mode,1580.59,1,1580.59,Carte Bancaire,Marrakech,F,36
TXN_0150,CUST_076,2024-06-26,Électronique,4824.14,1,4824.14,Livraison,Marrakech,M,68
TXN_0151,CUST_186,2024-10-20,Mode,1658.15,2,3316.3,Livraison,Rabat,M,52
TXN_0152,CUST_141,2024-12-05,Alimentation,141.23,4,564.92,Livraison,Rabat,M,40
TXN_0153,CUST_009,2024-05-30,Alimentation,696.24,3,2088.72,Carte Bancaire,Tanger,M,55
TXN_0154,CUST_156,2024-05-05,Électronique,6340.93,1,6340.93,Virement,Agadir,F,65
TXN_0155,CUST_163,2024-10-27,Électronique,8122.32,3,24366.96,Carte Bancaire,Casablanca,F,43
TXN_0156,CUST_148,2024-11-03,Mode,1523.22,3,4569.66,Livraison,Casablanca,M,56
TXN_0157,CUST_159,2024-12-01,Alimentation,864.75,3,2594.25,Livraison,Tanger,F,29
TXN_0158,CUST_163,2024-08-21,Alimentation,962.58,2,1925.16,Livraison,Casablanca,F,43
TXN_0159,CUST_038,2024-01-08,Mode,629.86,2,1259.72,Livraison,Tanger,F,30
TXN_0160,CUST_046,2024-12-06,Mode,1933.39,2,3866.78,Carte Bancaire,Marrakech,M,26
TXN_0161,CUST_126,2024-05-08,Électronique,7171.28,1,7171.28,Carte Bancaire,Marrakech,F,63
TXN_0162,CUST_184,2024-09-20,Maison,662.75,1,662.75,Livraison,Casablanca,M,40
TXN_0163,CUST_061,2024-06-05,Électronique,6151.98,1,6151.98,Livraison,Casablanca,F,28
TXN_0164,CUST_119,2024-12-17,Mode,454.6,2,909.2,Carte Bancaire,Agadir,M,39
TXN_0165,CUST_134,2024-12-23,Maison,1156.13,3,3468.39,Livraison,Rabat,F,44
TXN_0166,CUST_091,2024-01-05,Beauté,693.56,2,1387.12,Livraison,Agadir,F,54
TXN_0167,CUST_139,2024-03-26,Électronique,6180.77,1,6180.77,Livraison,Casablanca,F,53
TXN_0168,CUST_183,2024-06-23,Électronique,8524.14,4,34096.56,Virement,Marrakech,F,35
TXN_0169,CUST_125,2024-10-16,Alimentation,1502.62,4,6010.48,Carte Bancaire,Tanger,M,34
TXN_0170,CUST_112,2024-07-11,Électronique,2803.25,3,8409.75,Carte Bancaire,Rabat,M,52
TXN_0171,CUST_086,2024-11-06,Électronique,209.79,4,839.16,Virement,Marrakech,F,49
TXN_0172,CUST_117,2024-04-28,Beauté,1385.38,2,2770.76,Livraison,Fès,M,25
TXN_0173,CUST_073,2024-08-05,Électronique,2593.2,4,10372.8,Livraison,Tanger,F,49
TXN_0174,CUST_080,2024-04-23,Électronique,2117.44,1,2117.44,Virement,Marrakech,F,45
TXN_0175,CUST_109,2024-05-24,Mode,212.63,2,425.26,Virement,Casablanca,M,33
TXN_0176,CUST_012,2024-01-26,Alimentation,1101.82,1,1101.82,Virement,Tanger,M,34
TXN_0177,CUST_046,2024-05-15,Mode,1606.68,1,1606.68,Livraison,Marrakech,M,26
TXN_0178,CUST_113,2024-10-29,Électronique,6024.14,1,6024.14,Livraison,Fès,M,42
TXN_0179,CUST_084,2024-08-19,Alimentation,811.54,2,1623.08,Livraison,Agadir,F,54
TXN_0180,CUST_067,2024-03-16,Électronique,5776.66,3,17329.98,Carte Bancaire,Rabat,M,44
TXN_0181,CUST_142,2024-11-23,Électronique,5422.46,2,10844.92,Livraison,Casablanca,M,49
TXN_0182,CUST_135,2024-12-10,Beauté,723.03,1,723.03,Carte Bancaire,Fès,F,57
TXN_0183,CUST_034,2024-10-28,Électronique,342.94,3,1028.82,Virement,Marrakech,F,20
TXN_0184,CUST_177,2024-10-15,Maison,1763.53,2,3527.06,Livraison,Fès,M,46
TXN_0185,CUST_099,2024-01-01,Alimentation,1310.71,2,2621.42,Livraison,Rabat,M,53
TXN_0186,CUST_145,2024-05-26,Alimentation,1524.81,2,3049.62,Carte Bancaire,Tanger,F,69
TXN_0187,CUST_116,2024-10-13,Beauté,1382.83,1,1382.83,Carte Bancaire,Casablanca,F,31
TXN_0188,CUST_200,2024-05-21,Électronique,6613.25,2,13226.5,Carte Bancaire,Rabat,F,67
TXN_0189,CUST_149,2024-02-22,Maison,2457.3,3,7371.9,Livraison,Casablanca,F,69
TXN_0190,CUST_138,2024-10-30,Beauté,1078.49,1,1078.49,Carte Bancaire,Rabat,M,30
TXN_0191,CUST_156,2024-03-09,Maison,2127.78,2,4255.56,Livraison,Agadir,F,65
TXN_0192,CUST_029,2024-12-26,Beauté,415.67,3,1247.01,Virement,Casablanca,M,20
TXN_0193,CUST_039,2024-03-30,Électronique,3047.07,2,6094.14,Virement,Marrakech,F,36
TXN_0194,CUST_139,2024-08-07,Alimentation,113.54,1,113.54,Livraison,Casablanca,F,53
TXN_0195,CUST_099,2024-07-10,Électronique,6052.49,1,6052.49,Carte Bancaire,Rabat,M,53
TXN_0196,CUST_150,2024-03-03,Mode,1098.5,1,1098.5,Virement,Fès,M,57
TXN_0197,CUST_022,2024-03-13,Beauté,795.3,2,1590.6,Virement,Casablanca,F,45
TXN_0198,CUST_111,2024-06-09,Électronique,5097.89,2,10195.78,Carte Bancaire,Tanger,F,25
TXN_0199,CUST_076,2024-06-17,Maison,1259.51,1,1259.51,Virement,Marrakech,M,68
TXN_0200,CUST_093,2024-03-29,Électronique,3216.03,4,12864.12,Carte Bancaire,Agadir,F,23
TXN_0201,CUST_122,2024-06-24,Maison,174.89,2,349.78,Virement,Tanger,M,47
TXN_0202,CUST_100,2024-09-25,Alimentation,1573.43,1,1573.43,Virement,Casablanca,M,36
TXN_0203,CUST_112,2024-03-13,Beauté,1389.7,2,2779.4,Carte Bancaire,Rabat,M,52
TXN_0204,CUST_097,2024-09-01,Maison,2060.52,2,4121.04,Virement,Fès,M,33
TXN_0205,CUST_082,2024-03-17,Alimentation,210.92,1,210.92,Livraison,Casablanca,F,69
TXN_0206,CUST_154,2024-06-07,Électronique,1384.27,1,1384.27,Virement,Casablanca,F,26
TXN_0207,CUST_003,2024-11-19,Électronique,1030.89,3,3092.67,Livraison,Tanger,M,48
TXN_0208,CUST_122,2024-04-07,Électronique,7517.36,2,15034.72,Virement,Tanger,M,47
TXN_0209,CUST_116,2024-04-11,Électronique,8281.9,2,16563.8,Carte Bancaire,Casablanca,F,31
TXN_0210,CUST_140,2024-05-11,Mode,1883.11,2,3766.22,Carte Bancaire,Rabat,M,63
TXN_0211,CUST_122,2024-04-11,Maison,1249.66,1,1249.66,Carte Bancaire,Tanger,M,47
TXN_0212,CUST_163,2024-01-19,Maison,2978.24,1,2978.24,Virement,Casablanca,F,43
TXN_0213,CUST_192,2024-03-22,Électronique,5918.13,2,11836.26,Virement,Agadir,F,22
TXN_0214,CUST_071,2024-10-05,Mode,905.13,1,905.13,Virement,Agadir,F,59
TXN_0215,CUST_046,2024-12-04,Mode,453.39,1,453.39,Virement,Marrakech,M,26
TXN_0216,CUST_083,2024-12-30,Électronique,1110.22,3,3330.66,Carte Bancaire,Fès,F,23
TXN_0217,CUST_051,2024-11-26,Maison,242.19,4,968.76,Livraison,Marrakech,F,57
TXN_0218,CUST_124,2024-05-08,Maison,2401.59,3,7204.77,Carte Bancaire,Casablanca,M,36
TXN_0219,CUST_184,2024-12-09,Électronique,3737.84,3,11213.52,Carte Bancaire,Casablanca,M,40
TXN_0220,CUST_028,2024-11-05,Alimentation,1317.87,1,1317.87,Carte Bancaire,Casablanca,F,64
TXN_0221,CUST_022,2024-03-29,Alimentation,506.11,4,2024.44,Livraison,Casablanca,F,45
TXN_0222,CUST_047,2024-07-31,Électronique,6614.66,1,6614.66,Carte Bancaire,Casablanca,M,31
TXN_0223,CUST_141,2024-05-22,Beauté,1213.37,4,4853.48,Carte Bancaire,Rabat,M,40
TXN_0224,CUST_120,2024-03-05,Mode,1856.53,4,7426.12,Carte Bancaire,Casablanca,F,55
TXN_0225,CUST_022,2024-03-16,Maison,3774.68,2,7549.36,Carte Bancaire,Casablanca,F,45
TXN_0226,CUST_184,2024-07-17,Alimentation,280.91,4,1123.64,Virement,Casablanca,M,40
TXN_0227,CUST_158,2024-05-22,Alimentation,748.58,2,1497.16,Virement,Marrakech,M,22
TXN_0228,CUST_006,2024-11-11,Maison,821.48,1,821.48,Virement,Rabat,M,63
TXN_0229,CUST_127,2024-04-02,Maison,1965.85,2,3931.7,Livraison,Marrakech,F,58
TXN_0230,CUST_154,2024-10-31,Électronique,7062.42,2,14124.84,Carte Bancaire,Casablanca,F,26
TXN_0231,CUST_076,2024-08-11,Maison,501.97,1,501.97,Virement,Marrakech,M,68
TXN_0232,CUST_012,2024-10-17,Mode,1252.71,2,2505.42,Carte Bancaire,Tanger,M,34
TXN_0233,CUST_015,2024-04-11,Alimentation,1058.81,4,4235.24,Carte Bancaire,Marrakech,F,55
TXN_0234,CUST_022,2024-09-23,Électronique,1240.32,1,1240.32,Carte Bancaire,Casablanca,F,45
TXN_0235,CUST_167,2024-12-20,Mode,497.31,3,1491.93,Carte Bancaire,Fès,M,49
TXN_0236,CUST_184,2024-04-19,Électronique,200.27,3,600.81,Carte Bancaire,Casablanca,M,40
TXN_0237,CUST_025,2024-11-25,Électronique,6466.81,4,25867.24,Carte Bancaire,Fès,M,60
TXN_0238,CUST_046,2024-09-21,Électronique,3338.05,4,13352.2,Livraison,Marrakech,M,26
TXN_0239,CUST_034,2024-01-03,Alimentation,659.05,2,1318.1,Carte Bancaire,Marrakech,F,20
TXN_0240,CUST_038,2024-03-25,Mode,1612.81,4,6451.24,Carte Bancaire,Tanger,F,30
TXN_0241,CUST_166,2024-10-08,Maison,2558.88,3,7676.64,Virement,Marrakech,M,69
TXN_0242,CUST_067,2024-11-23,Électronique,2439.44,1,2439.44,Carte Bancaire,Rabat,M,44
TXN_0243,CUST_059,2024-10-30,Beauté,217.55,2,435.1,Carte Bancaire,Casablanca,M,18
TXN_0244,CUST_046,2024-04-26,Beauté,1015.35,2,2030.7,Virement,Marrakech,M,26
TXN_0245,CUST_123,2024-08-08,Mode,1173.34,1,1173.34,Carte Bancaire,Tanger,M,50
TXN_0246,CUST_076,2024-06-02,Électronique,313.5,2,627.0,Carte Bancaire,Marrakech,M,68
TXN_0247,CUST_146,2024-06-01,Alimentation,162.94,2,325.88,Livraison,Casablanca,F,60
TXN_0248,CUST_039,2024-01-12,Beauté,542.71,1,542.71,Carte Bancaire,Marrakech,F,36
TXN_0249,CUST_158,2024-05-12,Mode,1369.06,2,2738.12,Livraison,Marrakech,M,22
TXN_0250,CUST_122,2024-10-30,Électronique,4954.63,3,14863.89,Virement,Tanger,M,47
TXN_0251,CUST_024,2024-10-19,Électronique,7690.13,2,15380.26,Carte Bancaire,Rabat,F,64
TXN_0252,CUST_082,2024-10-26,Alimentation,991.18,1,991.18,Livraison,Casablanca,F,69
TXN_0253,CUST_172,2024-08-15,Beauté,99.15,1,99.15,Livraison,Tanger,F,68
TXN_0254,CUST_185,2024-09-27,Maison,2269.55,2,4539.1,Carte Bancaire,Marrakech,M,66
TXN_0255,CUST_095,2024-02-12,Alimentation,1451.65,4,5806.6,Livraison,Fès,F,55
TXN_0256,CUST_096,2024-12-08,Électronique,8627.16,1,8627.16,Carte Bancaire,Fès,M,23
TXN_0257,CUST_184,2024-11-21,Maison,1718.36,2,3436.72,Livraison,Casablanca,M,40
TXN_0258,CUST_119,2024-10-28,Mode,1067.89,1,1067.89,Carte Bancaire,Agadir,M,39
TXN_0259,CUST_007,2024-12-29,Alimentation,662.49,2,1324.98,Livraison,Tanger,M,53
TXN_0260,CUST_184,2024-01-21,Mode,1840.29,3,5520.87,Carte Bancaire,Casablanca,M,40
TXN_0261,CUST_046,2024-04-16,Beauté,618.56,3,1855.68,Virement,Marrakech,M,26
TXN_0262,CUST_117,2024-12-01,Électronique,5178.56,1,5178.56,Carte Bancaire,Fès,M,25
TXN_0263,CUST_034,2024-10-29,Maison,2157.3,2,4314.6,Livraison,Marrakech,F,20
TXN_0264,CUST_007,2024-04-26,Alimentation,408.83,1,408.83,Livraison,Tanger,M,53
TXN_0265,CUST_059,2024-05-03,Mode,1842.08,2,3684.16,Virement,Casablanca,M,18
TXN_0266,CUST_156,2024-10-07,Maison,3601.81,2,7203.62,Livraison,Agadir,F,65
TXN_0267,CUST_050,2024-10-18,Maison,905.73,1,905.73,Livraison,Tanger,M,52
